created_at,entry_id,noise,accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z,magnetometer-x,magnetometer-y,magnetometer-z,temperature,label
2018-04-19 06:44:57 UTC,1,226.3824,0.001876318,0.002261768,0.003427734,2.267175573,0.664122137,0,5.897460938,-27.16230469,-23.68066406,0.532902028,OFF
2018-04-19 06:45:56 UTC,2,230.2624,0.001848877,0.001975146,0.004085449,1.824427481,0.541984733,-0.511450382,5.71875,-28.06171875,-22.47070313,0.614370863,OFF
2018-04-19 06:46:58 UTC,3,218.7244,0.00181377,0.002172168,0.004040527,1.801526718,0.938931298,0.465648855,4.825195313,-29.32089844,-22.64355469,0.582741786,OFF
2018-04-19 06:47:56 UTC,4,208.7816,0.002029932,0.00223291,0.003561523,1.93129771,0.511450382,-0.045801527,5.71875,-28.78125,-23.16210938,0.506544463,OFF
2018-04-19 06:48:56 UTC,5,205.5212,0.001692432,0.002223193,0.003313965,1.893129771,0.366412214,-0.290076336,5.182617188,-28.24160156,-22.29785156,0.482103813,OFF
2018-04-19 06:49:56 UTC,6,209.8916,0.001948047,0.002334814,0.003765137,2.045801527,0.664122137,-0.015267176,6.43359375,-28.78125,-21.08789063,0.342648336,OFF
2018-04-19 06:50:57 UTC,7,206.6012,0.00201665,0.00219248,0.003853027,2.06870229,0.305343511,-0.259541985,5.182617188,-29.68066406,-22.64355469,0.285140923,OFF
2018-04-19 06:51:59 UTC,8,216.9028,0.001779785,0.002462793,0.003774902,1.977099237,0.335877863,-0.221374046,4.467773438,-29.32089844,-21.95214844,0.200202474,OFF
2018-04-19 06:52:56 UTC,9,209.3104,0.002154639,0.002882471,0.003691895,1.984732824,0.41221374,-0.091603053,5.897460938,-28.60136719,-22.64355469,0.206317429,OFF
2018-04-19 06:53:56 UTC,10,220.0716,0.0019646,0.002564355,0.003472168,2.099236641,0.389312977,0.038167939,5.00390625,-28.42148438,-24.19921875,0.141046515,OFF
2018-04-19 06:54:56 UTC,11,226.0844,0.003962061,0.004233838,0.007199219,1.977099237,0.427480916,-0.358778626,4.467773438,-27.52207031,-22.64355469,0.13293797,OFF
2018-04-19 06:55:56 UTC,12,203.5208,0.002078955,0.002842725,0.003811523,1.770992366,0.664122137,0.091603053,3.752929688,-28.60136719,-21.95214844,0.118791146,OFF
2018-04-19 06:56:56 UTC,13,210.6616,0.001985059,0.003393799,0.003773926,1.79389313,0.854961832,-0.122137405,5.897460938,-27.52207031,-22.64355469,0.084075838,OFF
2018-04-19 06:57:56 UTC,14,214.5424,0.001794824,0.002951172,0.003542969,1.870229008,0.488549618,-0.183206107,4.825195313,-27.16230469,-21.60644531,0.085743553,OFF
2018-04-19 06:59:03 UTC,15,206.7712,0.001981494,0.003587402,0.003629883,2.282442748,0.549618321,-0.114503817,5.361328125,-28.06171875,-21.08789063,0.090593345,OFF
2018-04-19 06:59:57 UTC,16,214.6812,0.002996533,0.004555225,0.003873535,1.839694656,1.13740458,0.328244275,4.825195313,-28.60136719,-22.64355469,0.079034355,OFF
2018-04-19 07:01:23 UTC,17,200.1616,0.002695508,0.0036271,0.004889648,2.603053435,0.145038168,-0.641221374,6.612304688,-27.52207031,-22.29785156,0.089769072,OFF
2018-04-19 07:01:56 UTC,18,212.3204,0.002472559,0.004384326,0.004928711,2.358778626,-0.091603053,-1.175572519,5.897460938,-28.24160156,-22.98925781,0.09469554,OFF
2018-04-19 07:02:56 UTC,19,204.092,0.002885205,0.003988135,0.004708008,2.496183206,-0.312977099,-0.351145038,4.467773438,-28.60136719,-23.33496094,0.086184443,OFF
2018-04-19 07:03:55 UTC,20,215.7804,0.002931201,0.004260791,0.00563916,2.183206107,0.610687023,-0.236641221,5.897460938,-27.52207031,-21.60644531,0.085686045,OFF
2018-04-19 07:04:57 UTC,21,203.1208,0.002818311,0.004143994,0.005539063,1.809160305,1.175572519,0.267175573,6.076171875,-28.06171875,-23.5078125,0.073053584,OFF
