created_at,entry_id,field1,field2,field3,field4,field5
2018-04-19 07:18:31 UTC,34,222.1167999999999,"0.017176416015625,0.01681157226562501,0.04343310546875","4.702290076335878,-0.5267175572519084,0.9083969465648854","4.8251953125,-27.1623046875,-23.3349609375",0.09201186090394703
2018-04-19 07:19:44 UTC,35,233.4572,"0.01918232421875,0.01808876953125001,0.04497216796875001","1.030534351145038,-2.83206106870229,-5.129770992366412","5.361328125,-28.78125,-23.5078125",0.1446311438583926
2018-04-19 07:21:02 UTC,36,286.4108,"0.02195952148437501,0.010023486328125,0.02929931640625","-0.6030534351145038,8.564885496183207,7.358778625954199","5.8974609375,-30.0404296875,-23.3349609375",0.08459340461856627
2018-04-19 07:22:23 UTC,37,208.2751999999999,"0.008618164062499998,0.016172998046875,0.01189208984375001","3.755725190839695,-0.9465648854961833,-1.717557251908397","4.4677734375,-28.2416015625,-22.6435546875",0.08641447269895629
2018-04-19 07:23:30 UTC,38,204.2771999999999,"0.01200439453125,0.01240693359375,0.0212861328125","2.213740458015267,3.435114503816794,1.587786259541985","5.361328125,-27.701953125,-22.125",0.07332195165783042
2018-04-19 07:24:45 UTC,39,264.3196,"0.015043017578125,0.018155419921875,0.01723681640625001","4.557251908396947,-1.748091603053435,-4.442748091603053","5.00390625,-29.141015625,-21.779296875",0.1269571989097503
2018-04-19 07:25:36 UTC,40,208.2911999999999,"0.002658349609374999,0.005415673828125009,0.004438964843750024","1.900763358778626,0.931297709923664,0.2748091603053435","5.1826171875,-28.9611328125,-22.9892578125",0.1737107257315663
2018-04-19 07:25:57 UTC,41,213.4723999999998,"0.002533496093749998,0.006078710937500004,0.00464941406250003","2.053435114503817,0.7786259541984732,-0.04580152671755725","5.361328125,-28.421484375,-22.81640625",0.09845269116721823
2018-04-19 07:27:06 UTC,42,197.0603999999998,"0.002164257812499999,0.005615917968750007,0.004610839843750032","1.969465648854962,1.175572519083969,0.0534351145038168","4.646484375,-28.421484375,-22.81640625",0.09615239464462029
2018-04-19 07:28:30 UTC,43,217.5331999999999,"0.002226464843749998,0.005960156250000005,0.00505712890625003","1.900763358778626,0.4045801526717558,-0.4351145038167939","4.2890625,-28.78125,-21.43359375",0.09714918980441208
2018-04-19 07:29:41 UTC,44,213.4223999999999,"0.002737792968749999,0.005966406250000006,0.00410205078125002","2.145038167938931,0.7022900763358778,0.1374045801526718","5.5400390625,-28.6013671875,-22.2978515625",0.121417318117826
2018-04-19 07:30:32 UTC,45,229.3747999999999,"0.002539306640624999,0.006351464843750002,0.004750976562500032","1.893129770992367,0.2824427480916031,-0.3435114503816794","4.646484375,-28.421484375,-22.470703125",0.1157624224997715
2018-04-19 07:30:55 UTC,46,209.3707999999999,"0.002393066406249997,0.005815771484375004,0.004114257812500025","2.007633587786259,0.3435114503816794,-0.1908396946564886","5.1826171875,-28.2416015625,-22.9892578125",0.1330721538323248
2018-04-19 07:32:02 UTC,47,202.4107999999999,"0.001956738281249999,0.006082568359375001,0.004652832031250034","2.091603053435115,0.9465648854961833,-0.02290076335877862","6.2548828125,-28.6013671875,-23.3349609375",0.1818384401114152
2018-04-19 07:32:56 UTC,48,256.2696,"0.01770112304687499,0.01421601562500001,0.03062841796874999","-0.03816793893129771,0.1679389312977099,-0.2977099236641221","5.5400390625,-27.8818359375,-21.9521484375",0.2433138646778625
2018-04-19 07:33:57 UTC,49,283.6812,"0.02694731445312501,0.0186890625,0.02784423828125","-1.473282442748092,5.839694656488549,1.625954198473282","5.361328125,-29.141015625,-22.470703125",0.1778895977476208
2018-04-19 07:34:55 UTC,50,273.3496,"0.02611308593749999,0.02122812500000001,0.03135156250000001","0.8931297709923665,0.9618320610687023,-1.610687022900763","5.1826171875,-27.5220703125,-22.9892578125",0.1702219426722922
2018-04-19 07:35:55 UTC,51,275.5004,"0.02368125,0.020323046875,0.03087744140625","1.206106870229008,8.541984732824428,4.610687022900763","3.0380859375,-28.2416015625,-24.0263671875",0.1404714409800177
2018-04-19 07:36:56 UTC,52,283.5504,"0.02641357421875,0.021353955078125,0.03640380859375002","2.091603053435115,-5.725190839694656,-3.862595419847328","7.1484375,-28.421484375,-22.125",0.1506694222302046
